,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
1047,																																								2 BHK Apartment																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,855 sqft,"           	 			           	 			12,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Sivaji Nagar-Chandanagar 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1048,																																								3 BHK Apartment																									            	,								From Jan '20							,Furnished,Bachelors/Family,1400 sqft,"           	 			           	 			30,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Toli Chowki 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1049,																																								3 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1775 sqft,"           	 			           	 			25,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							           							         	Kismathpur 							          			        				  						         	         		    		 	           			 						 							 								 					             					            	
1050,																																								3 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1335 sqft,"           	 			           	 			18,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Uppal, NH "
1051,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1235 sqft,"12,000"," Sun City, Bandlaguda, Chevella Road "
1052,3 BHK Builder Floor,Immediately,Furnished,Bachelors/Family,1800 sqft,"35,000", Attapur 
1053,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1000 sqft,"11,000"," Shankar Nagar, Ramachandra Puram, NH "
1054,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1560 sqft,"20,000", Gopal Nagar 
1055,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1100 sqft,"16,000", Kphb phase 
1056,2 BHK Builder Floor,Immediately,Furnished,Bachelors/Family,110 sqyrd,"10,000", Madannapet Colony 
1057,2 BHK Builder Floor,1,Furnished,Bachelors/Family,1050 sqft,"22,000", KPHB Colony 
1058,2 BHK Apartment,1,Unfurnished,Family,1170 sqft,"22,000", Troop Bazar 
1059,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1550 sqft,"25,000"," Panchavati Colony, Peerzadiguda, NH "
1060,3 BHK Builder Floor,From Mar '20,Semi-Furnished,Bachelors/Family,1700 sqft,"19,000", Nizampet 
1061,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1600 sqft,"21,000"," Gayatri Nagar, Medbowli, Inner Ring Road "
1062,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,950 sqft,"8,500", Dammaiguda 
1063,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1300 sqft,"12,000", Almasguda 
1064,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1500 sqft,"28,000", Zahara Nagar 
1065,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1500 sqft,"27,000", abhinandana exotica Manikonda 
1066,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1535 sqft,"22,000"," Chandanagar, NH "
1067,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1000 sqft,"11,000"," Tellapur, Outer Ring Road "
1068,3 BHK Apartment,2,Unfurnished,Bachelors/Family,2450 sqft,"19,500"," Tellapur, Outer Ring Road "
1069,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1000 sqft,"10,000", Medipally 
1070,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1069 sqft,"15,000"," Uppal, NH "
1071,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1344 sqft,"22,000"," Madinaguda, Hafeezpet, NH "
1072,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1300 sqft,"10,500", Sagar Ring road lb nagar 
1073,1 BHK Apartment,1,Unfurnished,Bachelors/Family,NaN,"14,000", Bikshapathi Nagar
1074,1 BHK Apartment,Immediately,Furnished,Bachelors/Family,read more,"10,000"," Ghatkesar, NH "
1075,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1695 sqft,"22,000"," Neknampur, Manikonda, Outer Ring Road "
1076,3 BHK Apartment,2,Furnished,Bachelors/Family,1475 sqft,"18,000"," Bandlaguda, Nagole "
1077,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,650 sqft,"7,500", Dabeerpura 
1078,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1075 sqft,"7,000"," Shilpa Nagar, Secunderabad "
1079,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,980 sqft,"25,000"," Financial District, Nanakram Guda "
1080,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,750 sqft,"16,000"," Dilsukh Nagar, NH "
1081,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,100 sqyrd,"20,000", Qutub Shahi Tombs 
1082,2 BHK Apartment,2,Furnished,Bachelors/Family,900 sqft,"22,500", Kalyan Nagar-Moti Nagar 
1083,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,900 sqft,"11,000", Suchitra Circle 
1084,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,800 sqft,"8,000"," Kismatpur, Outer Ring Road "
1085,2 BHK Apartment,North,Semi-Furnished,Bachelors,1000 sqft,"18,000"," Bagh Amberpet, Amberpet, NH "
1086,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1314 sqft,"32,000"," Narsingi, Outer Ring Road "
1087,2 BHK Apartment,1,Semi-Furnished,Bachelors,1050 sqft,"12,000"," Bachupally, Outer Ring Road "
1088,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1300 sqft,"20,000", Suchitra Circle 
1089,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1155 sqft,"14,000"," Peerzadiguda, NH "
1090,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1000 sqft,"13,000"," Pragathi Nagar, Kukatpally "
1091,3 BHK Builder Floor,Immediately,Furnished,Bachelors/Family,2150 sqft,"45,000"," Prashant Hills, Rai Durg "
1092,2 BHK Apartment,NaN,Semi-Furnished,Bachelors/Family,read more,"28,000", Kamalapuri
1093,2 BHK Apartment,2,Furnished,Bachelors/Family,1200 sqft,"15,000"," Kailash Hills, Mahadevpur Colony "
1094,3 BHK Apartment,1,Unfurnished,Bachelors,1600 sqft,"21,000", Attapur 
1095,3 BHK Apartment,2,Unfurnished,Bachelors/Family,2000 sqft,"20,000", Nizampet 
1096,2 BHK Apartment,2,Unfurnished,Bachelors/Family,850 sqft,"16,000"," Bandlaguda, Nagole, Srisailam Highway "
1097,3 BHK Builder Floor,West,Furnished,Bachelors/Family,2400 sqft,"30,000"," Miyapur, NH "
1098,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1020 sqft,"11,000", Old Bowenpally 
1099,2 BHK Apartment,North - East,Unfurnished,Bachelors/Family,1500 sqft,"15,000"," Miyapur, NH "
1100,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1600 sqft,"18,000", Bandlaguda Jagir 
1101,2 BHK Apartment,2,Unfurnished,Bachelors/Family,East Facing Property,"25,000", Snehita Hills
1102,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1190 sqft,"12,500", Gajularamaram 
1103,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1725 sqft,"22,000", Alwal 
1104,3 BHK Builder Floor,NaN,Bachelors/Family,3,2050 sqft,"27,000"," Kukatpally, NH "
1105,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1400 sqft,"28,000"," Kukatpally, NH "
1106,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1180 sqft,"15,000", Aminpur 
1107,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,50 sqyrd,"10,000", Humayunagar 
1108,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1365 sqft,"7,000"," Bolarum, Medchal Road "
1109,2 BHK Apartment,2,Unfurnished,Family,1200 sqft,"15,000", Prender Ghast Road 
1110,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1650 sqft,"18,000"," Upparpally, Hyderabad Expressway "
1111,3 BHK Apartment,From Jan '20,Semi-Furnished,Bachelors/Family,1900 sqft,"28,000"," Miyapur, NH "
1112,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1800 sqft,"24,000", Chitrapuri Colony 
1113,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,2010 sqft,"30,000"," Kokapet, Outer Ring Road "
1114,3 BHK Apartment,2,Semi-Furnished,Bachelors,2000 sqft,"17,000", Peeramcheru 
1115,1 BHK Apartment,Immediately,Furnished,Bachelors/Family,NaN,"5,000", Turkayamjal
1116,1 BHK Apartment,Immediately,Furnished,Bachelors/Family,read more,"9,000", Nagole
1117,1 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,read more,"6,500", Patancheruvu
1118,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1115 sqft,"11,000"," Rajendra Nagar, Outer Ring Road "
1119,3 BHK Apartment,2,Semi-Furnished,Bachelors,1425 sqft,"16,000", Attapur 
1120,2 BHK Builder Floor,Immediately,Furnished,Bachelors/Family,100 sqyrd,"18,000"," Alkapuri, LB Nagar, NH "
1121,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1500 sqft,"15,000"," Devendra Rocktown, LB Nagar, NH "
1122,2 BHK Apartment,North,Semi-Furnished,Family,2500 sqft,"17,000"," LB Nagar, NH "
1123,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1850 sqft,"27,000", Kamalapuri Colony 
1124,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,"13,500"," Uppal, NH "
1125,2 BHK Apartment,1,Unfurnished,Bachelors,1800 sqft,"12,000"," Kalimandir, Bandlaguda "
1126,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,950 sqft,"9,000"," Boduppal, NH "
1127,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1950 sqft,"30,000", East Marredpally 
1128,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1600 sqft,"22,000"," Kukatpally, NH "
1129,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1250 sqft,"18,000"," Mayuri Nagar, Miyapur "
1130,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,2000 sqft,"45,000"," HUDA Techno Enclave, Hitech City "
1131,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,911 sqft,"14,000", Pragati Nagar 
1132,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,850 sqft,"10,000", Langer House 
1133,2 BHK Apartment,North,Semi-Furnished,Bachelors,1100 sqft,"12,000"," Ananth Nagar, Secunderabad "
1134,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1000 sqft,"16,500"," Somajiguda, NH "
1135,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1900 sqft,"27,000"," SRI SAIRAM Towers, Hafeezpet, NH "
1136,2 BHK Apartment,From Dec '19,Semi-Furnished,Bachelors/Family,1000 sqft,"18,000"," Pragathi Nagar, Kukatpally "
1137,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1400 sqft,"16,000"," Miyapur, NH "
1138,2 BHK Apartment,2,Furnished,Bachelors/Family,900 sqft,"30,000", Madhapur-
1139,2 BHK Apartment,2,Semi-Furnished,Family,1100 sqft,"15,000", Suchitra Circle 
1140,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1000 sqft,"10,000"," Bachupally, Outer Ring Road "
1141,2 BHK Apartment,2,Semi-Furnished,Bachelors,1100 sqft,"10,500", Nizampet 
1142,3 BHK Apartment,3,Semi-Furnished,Bachelors,East Facing Property,"27,000", Manikonda
1143,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,"19,000"," Ameerpet, NH "
1144,2 BHK Apartment,1,Semi-Furnished,Bachelors,1200 sqft,"19,800"," Punjagutta, NH "
1145,1 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,NaN,"10,000", Anand
1146,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,925 sqft,"20,000"," Metro Palmgrove Phase I & II, Somajiguda, NH "
1147,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1250 sqft,"17,000", Shaikpet 
1148,3 BHK Apartment,2,Semi-Furnished,Bachelors,1475 sqft,"17,000", Navodaya Colony-Kukatpally 
1149,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1050 sqft,"17,000"," Pragathi Nagar, Kukatpally "
1150,1 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,NaN,"10,500"," Banjara Hills, NH "
1151,2 BHK Apartment,4,Semi-Furnished,Bachelors/Family,1100 sqft,"20,000"," Banjara Hills, NH "
1152,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1100 sqft,"12,000", Friends Colony 
1153,2 BHK Penthouse,From Jan '20,Furnished,Bachelors/Family,1800 sqft,"26,000"," Somajiguda, NH "
1154,3 BHK Apartment,1,Unfurnished,Bachelors,1675 sqft,"26,000"," Aparna Hill park Silver oaks, Chandanagar, NH "
1155,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,900 sqft,"18,000", Nizampet 
1156,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1700 sqft,"12,000", Alwal 
1157,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,"20,000"," Srinagar Colony, Old Malakpet, NH "
1158,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,850 sqft,"15,000", Nizampet 
1159,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,900 sqft,"12,000", Sivaji Nagar-Chandanagar 
1160,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1800 sqft,"25,000"," Manikonda, Outer Ring Road "
1161,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,"15,000"," Chandanagar, NH "
1162,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2400 sqft,"40,000", Begumpet 
1163,2 BHK Apartment,2,Unfurnished,Bachelors,1200 sqft,"25,000"," Manikonda, Outer Ring Road "
1164,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,750 sqft,"15,000"," Dilsukh Nagar, NH "
1165,1 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,read more,"11,000", Attapur
1166,2 BHK Apartment,Immediately,Bachelors/Family,2,1300 sqft,"30,000"," Banjara Hills, NH "
1167,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1045 sqft,"10,000"," Boduppal, NH "
1168,2 BHK Apartment,1,Semi-Furnished,Bachelors,1050 sqft,"15,000"," Chandanagar, NH "
1169,2 BHK Builder Floor,1,Unfurnished,Bachelors/Family,1350 sqft,"13,000"," Murad Nagar, Lal Darwaza, Falaknuma Road "
1170,3 BHK Apartment,1,Semi-Furnished,Family,1500 sqft,"17,000"," Kukatpally, NH "
