,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
682,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2170 sqft,"39,000"," Somajiguda, NH "
683,4 BHK Apartment,2,Unfurnished,Bachelors,1860 sqft,"48,000"," Raheja Vistas, Nacharam "
684,2 BHK Apartment,2,Unfurnished,Bachelors,1240 sqft,"26,000"," Aparna Hill park Silver oaks, Chandanagar, NH "
685,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1150 sqft,"12,000", Bandari Layout 
686,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1000 sqft,"12,000", Osman Nagar 
687,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1170 sqft,"15,000"," Moosarambagh, NH "
688,3 BHK Builder Floor,East,Unfurnished,Bachelors/Family,2650 sqft,"40,000"," Kakatiya Hills, Nizampet "
689,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1575 sqft,"20,000", Nagole 
690,2 BHK Apartment,2,Unfurnished,Bachelors,1235 sqft,"20,000"," Narsingi, Outer Ring Road "
691,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1800 sqft,"22,000"," SV Emerald, Tarnaka "
692,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,890 sqft,"22,000"," Rajendra Nagar, Outer Ring Road "
693,1 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,NaN,"6,500", Shapur
694,3 BHK Apartment,2,Furnished,Family,1535 sqft,"24,000"," Kukatpally, NH "
695,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,"12,500", Shamshabad 
696,1 BHK Apartment,1,Unfurnished,Bachelors/Family,NaN,"15,000"," New Dilshukh Nagar, NH "
697,2 BHK Apartment,1,Unfurnished,Bachelors,NaN,"8,500", Yadagiri Towers
698,2 BHK Apartment,1,Semi-Furnished,Bachelors,1350 sqft,"21,000", Hitech City 
699,Studio Apartment,North,Semi-Furnished,Bachelors/Family,NaN,"12,000"," Domalguda, Himayath Nagar, NH "
700,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1250 sqft,"26,000"," Aditya Imperial Heights, Hafeezpet, NH "
701,2 BHK Apartment,3,Unfurnished,Bachelors/Family,1285 sqft,"10,000", Gajularamaram 
702,3 BHK Apartment,3,Unfurnished,Bachelors,1870 sqft,"50,000"," Vajras Jasmine County, Gachibowli, Outer Ring Road "
703,3 BHK Apartment,2,Semi-Furnished,Bachelors,NaN,"45,000", Jubilee
704,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1685 sqft,"35,000"," Rajapushpa Atria, Gachibowli, Outer Ring Road "
705,3 BHK Apartment,2,Furnished,Bachelors/Family,2490 sqft,"50,000"," Rajapushpa Regalia, Kokapet, Outer Ring Road "
706,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1800 sqft,"30,000"," Yousufguda, NH "
707,3 BHK Apartment,1,Semi-Furnished,Family,2420 sqft,"50,000", Whitefields 
708,2 BHK Apartment,3,Unfurnished,Bachelors/Family,read more,"14,000", Nizampet
709,3 BHK Apartment,2,Furnished,Bachelors/Family,1534 sqft,"30,000", Appa junction 
710,3 BHK Apartment,1,Semi-Furnished,Family,1600 sqft,"28,000"," DD Colony, Amberpet "
711,2 BHK Penthouse,1,Furnished,Bachelors/Family,1200 sqft,"25,000", Narayanguda 
712,3 BHK Apartment,1,Semi-Furnished,Bachelors,1834 sqft,"38,500"," My Home Avatar, Narsingi, Outer Ring Road "
713,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1100 sqft,"20,000"," Manikonda, Outer Ring Road "
714,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1215 sqft,"25,000"," Prajay Megapolis, Hafeezpet, NH "
715,3 BHK Apartment,3,Unfurnished,Bachelors,East Facing Property,"21,000", Blossom Heights
716,2 BHK Apartment,2,Semi-Furnished,Bachelors,1050 sqft,"6,500"," Aruna Heights, Dammaiguda "
717,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,820 sqft,"10,000", Hyderabad 
718,2 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1000 sqft,"12,000", Mahadevpur Colony 
719,3 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,100 sqyrd,"7,000", Santosh Nagar 
720,2 BHK Builder Floor,East,Semi-Furnished,Bachelors,1050 sqft,"13,000", Friends Colony 
721,3 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1400 sqft,"12,000"," Mallampet, Outer Ring Road "
722,Studio Apartment,1,Unfurnished,Bachelors/Family,NaN,"10,000", Attapur
723,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1100 sqft,"10,000"," Bachupally, Outer Ring Road "
724,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,2200 sqft,"20,000"," Anil Sri Vishnus Grande Vista, Hyderabad "
725,3 BHK Apartment,North,Semi-Furnished,Bachelors/Family,1450 sqft,"20,000", New Nallakunta 
726,2 BHK Apartment,1,Semi-Furnished,Family,1235 sqft,"22,000"," Narsingi, Outer Ring Road "
727,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1160 sqft,"16,000"," Central Excise Colony, Santosh Nagar "
728,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1000 sqft,"25,000", Suchitra Circle 
729,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2800 sqft,"45,000"," Kokapet, Outer Ring Road "
730,3 BHK Apartment,3,Unfurnished,Family,1400 sqft,"16,000", Allwyn Colony 
731,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1700 sqft,"16,000"," Upparpally, Hyderabad Expressway "
732,3 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,2000 sqft,"35,000"," Saifabad, Khairatabad, NH "
733,Studio Apartment,East,Unfurnished,Bachelors/Family,read more,"14,000", Police
734,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1825 sqft,"45,000"," Tree Walk, Kondapur "
735,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1090 sqft,"15,000"," Vasathi Navya, Sanjay Gandhi Nagar-Jeedimetla "
736,3 BHK Apartment,East,Semi-Furnished,Family,1835 sqft,"45,000"," Gachibowli, Outer Ring Road "
737,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1050 sqft,"25,000"," Kukatpally, NH "
738,4 BHK Apartment,3,Unfurnished,Family,2675 sqft,"50,000"," P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road "
739,3 BHK Apartment,2,Semi-Furnished,Family,1856 sqft,"35,000"," L&T Serene County, Telecom Nagar, Gachibowli, Outer Ring Road "
740,2 BHK Apartment,1,Semi-Furnished,Bachelors,1100 sqft,"22,000"," Punjagutta, NH "
741,1 BHK Apartment,1,Semi-Furnished,Bachelors/Family,East Facing Property,"7,000", Shivam
742,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2400 sqft,"48,000"," Ramky Towers Elite, Madhapur "
743,2 BHK Apartment,1,Unfurnished,Bachelors/Family,750 sqft,"15,000"," Madhura Nagar, NH "
744,3 BHK Builder Floor,Main Road,Furnished,Bachelors/Family,1150 sqft,"23,000"," Malakpet, NH "
745,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1550 sqft,"17,000", Nizampet 
746,2 BHK Apartment,1,Semi-Furnished,Bachelors,900 sqft,"17,000"," Narsingi, Outer Ring Road "
747,2 BHK Builder Floor,Immediately,Furnished,Bachelors/Family,1000 sqft,"9,000"," LB Nagar, NH "
748,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1700 sqft,"40,000", Kondapur 
749,3 BHK Apartment,3,Unfurnished,Bachelors/Family,2259 sqft,"45,001"," Lodha Meridian, Kukatpally Housing Board Colony, NH "
750,3 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1800 sqft,"30,000", Kondapur 
751,1 BHK Apartment,1,Semi-Furnished,Bachelors,East Facing Property,"14,000", Kondapur
752,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,2500 sqft,"35,000"," Banjara Hills, NH "
753,3 BHK Apartment,West,Unfurnished,Bachelors/Family,1615 sqft,"45,000"," Aparna Serene Park, Kondapur "
754,2 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,900 sqft,"20,000", Jubilee Hills 
755,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1314 sqft,"30,000"," My Home Avatar, Narsingi, Outer Ring Road "
756,2 BHK Apartment,2,Unfurnished,Bachelors,915 sqft,"32,000"," Lodha Meridian, Malaysian Township, Kukatpally "
757,3 BHK Apartment,1,Semi-Furnished,Family,1834 sqft,"40,000"," My Home Avatar, Narsingi, Outer Ring Road "
758,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,900 sqft,"17,000", Hyderguda 
759,2 BHK Penthouse,1,Semi-Furnished,Bachelors/Family,1200 sqft,"9,800"," Hayathnagar, NH "
760,2 BHK Apartment,1 Covered,Bachelors/Family,2,1325 sqft,"18,000", Suchitra Circle 
761,3 BHK Apartment,2,Furnished,Family,1600 sqft,"35,000"," Banjara Hills, NH "
762,3 BHK Apartment,2,Semi-Furnished,Family,1310 sqft,"13,500"," Pragathi Nagar, Kukatpally "
763,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1520 sqft,"30,000"," Aditya Imperial Heights, Hafeezpet, NH "
764,3 BHK Apartment,1,Semi-Furnished,Bachelors,1620 sqft,"22,000", Sri Nagar Colony 
765,3 BHK Apartment,3,Semi-Furnished,Family,1854 sqft,"40,000"," Lodha Meridian, Kukatpally, NH "
766,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1150 sqft,"15,000", Asif Nagar 
767,3 BHK Apartment,1,Semi-Furnished,Bachelors,1775 sqft,"27,000"," Gangothri Nakshatra, Manikonda, Outer Ring Road "
768,2 BHK Builder Floor,1,Semi-Furnished,Family,1200 sqft,"20,000"," Gayatri Hills, Jubilee Hills "
769,3 BHK Apartment,2,Semi-Furnished,Bachelors,1505 sqft,"25,000"," Muppas Aishwarya Condos, Narsingi, Outer Ring Road "
